id,value
1,7470857.434200386
2,7836978.315232104
4,6752076.048446497
5,6775301.341529932
6,6273198.829950603
10,6492967.652252523
11,6546785.175945854
15,6477858.8966484405
17,6348456.438195687
23,6303119.254770383
25,6777201.943783376
28,6307108.754472813
31,5856020.303166021
35,6155743.753478104
39,5463909.45263087
40,5157203.900221622
43,5878257.477865873
48,5459113.32500799
51,4985408.196844548
55,5510684.677753188
56,5518318.684631921
57,5808359.351298198
61,5596130.032565411
62,5510798.73254412
69,5229434.216482116
70,4793859.162795814
71,4959071.624913886
74,5688512.424636705
80,5458496.9981299285
82,5520362.003039725
84,5356528.378396042
85,5619577.481318688
88,5145170.632029466
90,4511800.634800259
91,5012119.324587877
95,5294210.763282443
101,5035625.283580003
104,4493001.134899691
111,4820014.914596109
113,4601433.002495203
116,5540986.827296719
120,5065659.61874019
122,4831055.7560911495
130,4418893.556497979
136,5046596.822898786
138,5414701.781724637
141,4476247.987115951
144,4759452.4342891425
146,4588617.533536367
147,4626573.724251416
150,4405326.542436654
151,5075815.461815322
152,3852235.3286212697
158,3986061.7289460283
159,4292417.15907871
160,4703332.959929964
162,4891143.755877732
168,4647770.278902214
172,4555961.716122396
177,4900620.589527478
181,4174025.510047393
183,5324128.544443391
184,5226347.429018118
186,5152334.652812829
187,5049103.499891929
192,5070177.242601955
193,4611153.403600108
194,4861955.691144756
200,4238677.452768247
201,4185364.84779444
204,4619102.074776318
206,5332032.864913775
208,4500718.576577689
219,4827057.802546749
221,4649511.913022429
227,4302720.996532189
231,3074417.4727796977
233,5176528.432177367
235,4723947.782458574
237,4031537.7642287533
238,3229610.8189163716
239,3903221.6838463345
255,4183933.7625445006
258,4636841.676482913
260,4252581.852029876
272,4206398.335215278
273,4542323.63014536
275,3630842.050079429
279,4249570.966968607
281,4600810.143965807
284,4597990.743813969
286,4138947.2937104967
292,4683475.399377277
300,4048365.958901695
301,4063446.4116494646
303,4140851.250696965
304,4210326.075464725
315,3938697.159168517
318,4013684.8470641044
320,3478340.5327984234
322,4459151.923810037
323,4380381.584998759
326,4081438.4956963174
328,4218457.412079539
337,4777741.349933304
339,4268528.264854313
342,4841913.277549401
343,4745861.436942497
360,4268998.027820708
364,4636564.276879898
365,4461208.631681641
367,4275559.638245641
368,3802285.812787387
369,4148534.500816894
372,4115817.06728322
376,4790250.590916099
379,4444370.584811702
380,4344399.309632463
383,4354258.883531197
385,4079764.7432343173
386,4153741.766545004
390,3709106.52296818
391,4244364.634400605
393,4224011.558986704
400,3472374.4154205234
403,3370973.432122484
413,4339818.863497627
416,4100050.5790377157
423,3851837.8235587534
424,3839157.1276402925
426,4328775.6795278005
427,3851356.0583210615
428,3968391.903305927
429,4380926.516403247
431,3321235.9441391006
432,3936742.073906111
433,4250419.406568525
439,3222560.170470289
443,4074960.983195181
444,4598614.029414551
446,4349655.818601769
449,4808697.787913237
456,4342064.902118383
457,3382747.506226668
464,3841541.099731516
468,4673422.522937585
472,3349633.4697774732
474,4076547.928100391
483,3770944.043070197
488,3743823.2383866473
494,3847623.914599643
499,3477185.1147527564
505,4093420.8857278316
506,3858694.3601381015
510,3219311.2124372046
511,3852686.709713402
512,3549980.1139264666
517,3316004.8545197677
521,3994888.2547117197
522,3566005.7101037856
523,3563404.798074631
526,3498610.458901887
531,3316004.8545197677
540,3374987.485842431
547,3122811.0345134037
555,4471908.85145043
556,3985649.252209825
563,2633494.6438148115
564,4215689.137795554
566,3276091.437472453
573,3128091.367373933
574,3958838.671476662
581,3952791.6095031383
588,3198024.067898307
590,3661393.9691775376
591,3741755.1463790736
595,3628837.665493572
596,3815418.3393707643
597,3817271.0801232336
599,3527133.7696981416
600,3867292.626694725
602,3256811.920741476
603,3688734.649871756
606,3814230.2348299637
613,3520356.4777851636
615,3774282.62622458
620,4018170.96667629
623,3293713.886234476
624,4007643.4752555783
628,2948498.7222155435
630,3216073.065102275
635,3375890.241613526
636,3808786.4722772934
638,4130864.901114684
662,3446566.484429087
664,3710134.865363997
665,3428710.9822353073
670,4171276.1497004563
672,3713852.687528584
677,4262905.645826291
680,3496923.077270909
695,3467409.467854084
705,3249380.5265555684
713,2967265.263969779
716,3329288.4027709933
717,3482386.958118789
720,3595030.237624495
723,3700619.7243439946
725,3690514.3483614926
731,2916114.38058431
733,2869455.3538684575
734,3370079.9838908957
738,3380907.821216495
740,3215137.7642363887
743,3326831.96518543
747,3481895.2050826107
750,3383272.152710733
752,3469359.486319485
753,3337766.3821642455
756,3502256.848162802
758,3001766.5861719092
768,4281693.758007548
770,3916378.3806515867
772,3487445.0905484376
773,3545192.4321449045
791,3745172.6285712575
793,4090476.350492083
794,3598560.0565174376
798,3376127.045864419
799,3041115.563826342
801,3656294.513945829
804,4158599.887625792
805,3846549.9093619883
811,3486316.328158809
822,3078770.901467187
824,3786993.471147098
827,3522037.494503043
828,3525167.1771173966
832,3528039.727905093
837,3120376.017996944
844,3470012.5954745812
851,3250230.690467827
852,3265311.143215596
854,3682568.4502822147
856,3524520.148366125
860,3628604.83621617
867,3025360.7951516947
877,3445313.8451164565
880,3407631.963632645
883,3294871.4695732812
885,3023979.93698054
889,3256410.1968707293
891,2577198.438095724
894,2533987.8260195963
897,3611616.6415977636
898,3298916.423630109
899,2669605.856741187
904,3706058.918504867
906,3442490.537569957
907,3081085.7498727236
910,2777815.3722293787
915,2377284.9199202736
917,2943380.681308016
919,3262731.8996051196
925,2886352.2870635623
928,2596457.015763425
940,2587370.159210964
945,3217999.8295108406
946,2820413.743616733
951,2811078.392444357
953,3815054.7395447446
959,2995129.110356056
961,2651611.59740624
963,3070457.7697254596
965,2935206.99221838
971,2594400.437329919
973,2824350.4551454843
983,2318399.789939295
985,3349559.4361376134
997,2606841.905332653
998,2889299.203846048
999,3255041.3898000605
1004,2668792.147598681
1012,2793595.6715345327
1014,3697087.907029905
1021,3014441.737282341
1024,3000546.972708504
1028,3292164.8004344925
1034,3178724.5353848375
1037,2598762.0888168463
1038,3352466.5761428094
1041,2728768.2480668765
1043,2862776.27938883
1044,3571942.3715912877
1048,3250301.7344550807
1054,3551966.7574644075
1058,3161451.6976098134
1059,2610130.194531506
1061,3820262.0052728546
1068,2538045.8627812555
1070,2732704.959595628
1075,3451613.107621504
1076,2645684.1593379052
1078,2668789.8843869967
1080,2573459.609698944
1082,3710335.451758889
1084,2125108.468591246
1085,2824350.4551454843
1088,3217745.430771116
