id,value
1,7246291.951561121
2,7387509.921024945
4,6458478.308517797
5,6432139.313722901
6,6109862.500720967
10,6209611.933146371
11,6194762.385950983
15,6181332.0927122105
17,6072777.9660255965
23,6045133.79730822
25,6396186.452822082
28,5949676.841965485
31,5635242.351303671
35,5932937.51210627
39,5309720.738491686
40,4990899.787741752
43,5570286.540766722
48,5237082.25558257
51,4855766.242119568
55,5280983.199095939
56,5282941.466724713
57,4974232.587470245
61,5344231.658665374
62,5254157.976561761
69,4956703.876056317
70,4680450.310621793
71,4778806.861680126
74,5439854.133778274
80,5215937.370679323
82,5212457.65550814
84,5176925.806579117
85,5313170.617240471
88,4892109.859776159
90,4382363.997269418
91,4789089.058536388
95,5017625.218178145
101,4846527.744612764
104,4419117.608367238
111,4581094.406243484
113,4419037.583479258
116,5257169.957345534
120,4844980.906332203
122,4650593.133229952
130,4298812.992274409
136,4812947.463320159
138,5219052.98115864
141,4263861.40458867
144,4649585.466633454
146,4415003.227550408
147,4414937.508748332
150,4301902.979739035
151,4894068.541073512
152,3924895.067751938
158,3785663.2411989914
159,4116321.7976612225
160,4526936.306024501
162,4651844.842317707
168,4406788.587719429
172,4369240.289007651
177,4219254.023603257
181,4052425.4708824055
183,5032279.191220928
184,4949852.939545094
186,4883984.887467464
187,4804879.214106143
192,4861574.695876553
193,4437701.092967663
194,4615096.72902174
200,4116381.9577076826
201,4066733.130299716
204,4398061.046377699
206,5022595.466590691
208,4337501.591397202
219,4640926.162574731
221,4646610.896791412
227,4171662.5207035956
231,3160996.618252296
233,4978667.481759325
235,4493863.760573469
237,3839295.359822984
238,4044987.1455946737
239,3808371.70047705
255,4067516.7567005134
258,4475034.255036851
260,4060778.2196405604
272,4077586.0344647216
273,4359091.640117137
275,4385011.796605449
279,4014863.788036746
281,4347793.951286112
284,4411866.076012075
286,4052135.711884629
292,4442831.097320542
300,3957371.7163366363
301,4010475.8323203074
303,4015420.9610750163
304,4093211.4102363773
315,3997568.5526408497
318,3969485.3653841997
320,3464894.7660727766
322,4214234.700509654
323,4239232.443898577
326,4034910.0471856245
328,4107068.504423437
337,4548771.55223701
339,4107447.18456818
342,4578745.33406828
343,4552435.589632204
360,4148169.6163457423
364,4391659.858227493
365,4288788.877543567
367,4074106.1379014994
368,3663061.0909950114
369,4015648.0681992183
372,3871620.8126300513
376,4550754.176705328
379,4268458.6325986795
380,4202025.183806527
383,4122275.638209353
385,3905928.109507784
386,3982275.469738949
390,3696143.837572964
391,4169897.111273488
393,4132788.571529858
400,3411234.13081251
403,3478050.741901096
413,4164458.726676626
416,3957336.929147563
423,3657666.7038082555
424,3700036.3114151806
426,4025932.1306058816
427,3688194.6927847583
428,3810854.6754405466
429,4192666.492823375
431,3198666.156486356
432,3822265.627279618
433,4043434.8271547933
439,3126669.2689627083
443,3928028.54125754
444,4389920.243498189
446,4166921.4248416866
449,4544025.102392666
456,4099984.9510604804
457,3354868.905886134
464,3697304.2655995754
468,4424487.435731994
472,3323948.1926083216
474,3961860.286513891
483,3624077.3866581856
488,3599255.3825153527
494,3654951.479818463
499,3352068.746922685
505,3929253.604284288
506,3752306.537178697
510,3253935.7840931476
511,3605788.2559318845
512,3570922.375166038
517,3307519.378712943
521,3884106.518382442
522,3630584.386222339
523,3545547.6257180055
526,3453826.5546893706
531,3307519.378712943
540,3380285.8634790583
547,3119579.876269581
555,4311928.68713056
556,3866401.0542632733
563,2760142.3380684135
564,4073157.055334042
566,3073139.166396945
573,3008995.4935384216
574,3774950.7633976582
581,3806824.2410252346
588,3161716.903984192
590,3546710.506543334
591,3588976.080492061
595,3495404.6928039696
596,3643097.8829494445
597,3710747.9236460496
599,3372617.25333324
600,3719014.7962603746
602,3158690.2146518407
603,3567261.836615492
606,3711045.430972031
613,3411608.7059982684
615,3558508.3427502722
620,3890010.8670517993
623,3141892.977675274
624,3805886.4724544357
628,2896628.79038876
630,3146053.8716421193
635,3277846.7049371526
636,3600531.4484426505
638,3929884.2359217834
662,3374046.8953100173
664,3551484.762890127
665,3355058.5820925813
670,3967514.200628094
672,3577788.7129537705
