date_time,number_of_rentals
2021-04-01,94003.68815490603
2021-04-02,90511.1190360561
2021-04-03,72444.21342629194
2021-04-04,72929.8651029244
2021-04-05,104084.40920297056
2021-04-06,103621.08325129002
2021-04-07,105677.59861566126
2021-04-08,102026.62756355107
2021-04-09,107279.45457487553
2021-04-10,104110.31075307727
2021-04-11,101640.99110871553
2021-04-12,75466.9362038821
2021-04-13,80123.28968556225
2021-04-14,99364.65238598734
2021-04-15,101875.7823330164
2021-04-16,80046.10690908879
2021-04-17,86184.06101341546
2021-04-18,100872.73084313422
2021-04-19,109533.84574884921
2021-04-20,116553.59032653272
2021-04-21,116263.27380078286
2021-04-22,106086.07755088806
2021-04-23,97822.01170939952
2021-04-24,106247.5933682099
2021-04-25,105893.49812393636
2021-04-26,104457.76656695455
2021-04-27,100756.78035371006
2021-04-28,95508.03343063593
2021-04-29,99481.37083940953
2021-04-30,82884.00815305114
2021-05-01,74878.98705846816
2021-05-02,106887.00623226166
2021-05-03,109722.21825429797
2021-05-04,85541.50203111768
2021-05-05,97142.11500521749
2021-05-06,106814.95333645493
2021-05-07,88812.22158399224
2021-05-08,98508.01301950961
2021-05-09,105043.37548914552
2021-05-10,105639.59658821672
2021-05-11,117477.88222654909
2021-05-12,114858.19254428148
2021-05-13,124359.20972059667
2021-05-14,120297.56870604306
2021-05-15,97936.7858459577
2021-05-16,81845.87039741874
2021-05-17,99557.39521692693
2021-05-18,120343.51232142746
2021-05-19,119881.50177460909
2021-05-20,96899.39432082325
2021-05-21,95611.0715996623
2021-05-22,117157.0398009792
2021-05-23,114799.75974019617
2021-05-24,111765.92021629214
2021-05-25,99746.83480931073
2021-05-26,106475.35504597425
2021-05-27,97956.7331502065
2021-05-28,93665.76881534606
2021-05-29,111762.65361591429
2021-05-30,113368.64209735394
2021-05-31,103133.21935161203
2021-06-01,120576.50596861541
2021-06-02,119370.00676883757
2021-06-03,100155.03176596016
2021-06-04,116683.73379731178
2021-06-05,116148.02470973879
2021-06-06,122432.8661480844
2021-06-07,123527.39015190303
2021-06-08,123523.2718719095
2021-06-09,128063.16580884159
2021-06-10,119699.37254164368
2021-06-11,99470.1062200889
2021-06-12,132691.35376155376
2021-06-13,132881.56949674338
2021-06-14,129585.80370682478
2021-06-15,113763.74696408212
2021-06-16,112716.39076907933
2021-06-17,117010.02596689016
2021-06-18,108733.69862768799
2021-06-19,126997.2527840808
2021-06-20,122960.51322387159
2021-06-21,127625.17130886763
2021-06-22,106096.07125405967
2021-06-23,90848.33417639136
2021-06-24,114923.12062633038
2021-06-25,125145.97780825943
2021-06-26,118666.17829474807
2021-06-27,123256.13647135347
2021-06-28,97293.8269969374
2021-06-29,114290.66174527258
2021-06-30,115273.12402318418
