date_time,number_of_rentals
2021-04-01,97247.9607078731
2021-04-02,92954.19859919697
2021-04-03,74906.41803621501
2021-04-04,76906.34191060066
2021-04-05,105729.19189028442
2021-04-06,102589.80088180304
2021-04-07,104394.65845878422
2021-04-08,100728.17326103896
2021-04-09,108500.89603744447
2021-04-10,104353.48861385137
2021-04-11,103231.50595732033
2021-04-12,77215.7084126994
2021-04-13,78878.78749243915
2021-04-14,98371.48092591763
2021-04-15,102157.04892013222
2021-04-16,80821.41277822107
2021-04-17,85256.91448289901
2021-04-18,99627.0031432584
2021-04-19,109216.31305113435
2021-04-20,115875.85375089943
2021-04-21,116390.5261990726
2021-04-22,106561.69229172915
2021-04-23,100718.23226548731
2021-04-24,107379.29440645874
2021-04-25,108201.12541100383
2021-04-26,105673.05881027132
2021-04-27,101101.70072187483
2021-04-28,94949.23842705041
2021-04-29,100525.61102487892
2021-04-30,82525.49814132601
2021-05-01,71554.93847372383
2021-05-02,105141.11776840687
2021-05-03,109527.3193083778
2021-05-04,85878.84325790405
2021-05-05,96402.67803034186
2021-05-06,108183.83142510056
2021-05-07,89997.13774283975
2021-05-08,99393.50635910779
2021-05-09,104366.25795078278
2021-05-10,106229.15449778736
2021-05-11,120411.16348966956
2021-05-12,117624.66249065846
2021-05-13,124275.44201232493
2021-05-14,120766.92213188112
2021-05-15,99280.05425654352
2021-05-16,84254.25323057175
2021-05-17,102251.57544928789
2021-05-18,120382.72518677264
2021-05-19,119135.64026772976
2021-05-20,100265.426492095
2021-05-21,95467.38047814369
2021-05-22,115911.83471293002
2021-05-23,114224.11647757888
2021-05-24,111238.06778041273
2021-05-25,99285.63323414326
2021-05-26,107542.73734981567
2021-05-27,97649.51213422418
2021-05-28,93991.84630009532
2021-05-29,110373.29514087737
2021-05-30,114645.74638711661
2021-05-31,104344.15987302363
2021-06-01,120021.85016357154
2021-06-02,119168.92534466833
2021-06-03,100145.913708359
2021-06-04,116167.35661215335
2021-06-05,116516.73765879124
2021-06-06,122238.74588064104
2021-06-07,123417.86861291528
2021-06-08,122903.96652317792
2021-06-09,128296.25901535153
2021-06-10,120260.40161106735
2021-06-11,99254.98820833862
2021-06-12,131396.58597887307
2021-06-13,131816.92573740333
2021-06-14,129081.29342045635
2021-06-15,115581.86548665911
2021-06-16,116562.22171127796
2021-06-17,118203.12253820896
2021-06-18,107494.93740146607
2021-06-19,126835.20001105219
2021-06-20,123463.01682246476
2021-06-21,126992.48251025379
2021-06-22,105871.3547020629
2021-06-23,89578.58467323333
2021-06-24,114463.97033518553
2021-06-25,124658.81572484225
2021-06-26,118780.33703038096
2021-06-27,124286.25597345829
2021-06-28,96648.16198455542
2021-06-29,113497.81961163133
2021-06-30,113696.56120372564
