일자,중식계,석식계
2021-01-27,1030.4450214135557,350.5294199417147
2021-01-28,961.1991053687476,387.7989396803734
2021-01-29,607.7021673487401,243.34034792560888
2021-02-01,1231.704553542212,526.6618448658587
2021-02-02,1038.5051853087477,466.4851692933111
2021-02-03,1032.2969129835071,381.2827299572112
2021-02-04,968.0969683687332,466.58325431569347
2021-02-05,689.4097602783835,342.58804826528603
2021-02-08,1277.9182799433386,596.3309850116071
2021-02-09,1036.1706890627843,491.1943012543291
2021-02-10,805.3908594313476,166.05810151823732
2021-02-15,1305.160055623466,676.2522448702429
2021-02-16,1146.278689802079,619.2663599848324
2021-02-17,1072.2124980017863,334.8595322936516
2021-02-18,909.0140696773947,499.6892320501294
2021-02-19,687.0553132488527,357.0506338956199
2021-02-22,1240.9358609359933,635.5118493924758
2021-02-23,1076.7838215276017,601.0516781049079
2021-02-24,890.2367482371247,304.30096600438213
2021-02-25,859.3662249250436,479.387303517951
2021-02-26,609.5194520284543,280.5020053129875
2021-03-02,1079.0255473585833,616.6425849318631
2021-03-03,985.7256723277841,364.12491773605865
2021-03-04,938.9449808964267,525.1552345252175
2021-03-05,654.6157464192338,359.1812341009825
2021-03-08,1285.5115787084658,674.7258822712407
2021-03-09,1157.1824061956156,673.8101792141273
2021-03-10,1019.5712747819571,388.8156328151047
2021-03-11,925.091008536086,508.0460366794546
2021-03-12,669.0323379513461,310.3583888171483
2021-03-15,1279.7452309508355,671.7437819325243
2021-03-16,1046.4214419271204,556.0145695395125
2021-03-17,1035.7243514090223,365.7082927299735
2021-03-18,902.3710956203014,473.4770137203459
2021-03-19,621.2917604852377,279.65374873068595
2021-03-22,1242.4170030982884,602.5163055346956
2021-03-23,1007.4389160103605,556.1300951906843
2021-03-24,913.2713902791924,357.98653656211155
2021-03-25,844.357741164405,424.665958095879
2021-03-26,581.8045341802323,289.7086440810454
2021-03-29,1212.3260221655905,592.786897319828
2021-03-30,1022.0793815942034,541.2494909284181
2021-03-31,947.5044261037677,372.49206506467226
2021-04-01,812.5573124188287,410.8405270332458
2021-04-02,590.1790561753058,267.05730920461366
2021-04-05,1203.0185590475076,565.4224354962543
2021-04-06,1012.3366300558304,531.1438501819312
2021-04-07,970.2039817691726,345.4657822011554
2021-04-08,868.9685928394814,447.32435835580714
2021-04-09,599.2690126836991,279.76429549682035
