iter	MultiClass
0	1.544432468
1	1.48703074
2	1.436071293
3	1.389336541
4	1.349433811
5	1.313010815
6	1.280374699
7	1.24973611
8	1.2240231
9	1.199691784
10	1.177796577
11	1.159545405
12	1.140541724
13	1.123779916
14	1.108227834
15	1.094035918
16	1.079384
17	1.069023669
18	1.056779555
19	1.046380617
20	1.036762844
21	1.027041234
22	1.017340091
23	1.008866843
24	1.00047227
25	0.9923132748
26	0.9829570277
27	0.9751791531
28	0.9686094729
29	0.9615350421
30	0.9552407678
31	0.949375203
32	0.9435963578
33	0.9385031799
34	0.9329160012
35	0.9271051371
36	0.9228954862
37	0.9174244782
38	0.9139522159
39	0.9088411962
40	0.9053940539
41	0.902352193
42	0.8983783954
43	0.8950421954
44	0.8902521357
45	0.8869436756
46	0.8826767774
47	0.8778162028
48	0.8740609222
49	0.8692565861
50	0.8643702089
51	0.8592079423
52	0.8539583991
53	0.8506547026
54	0.845459272
55	0.84242086
56	0.8401119259
57	0.8378914059
58	0.8363527386
59	0.833653964
60	0.8319912721
61	0.8276260888
62	0.824104028
63	0.8210539894
64	0.8180349989
65	0.814766622
66	0.811839371
67	0.8087214561
68	0.8068268338
69	0.8049084164
70	0.8002303301
71	0.7977758287
72	0.7949672381
73	0.7918237165
74	0.7894776965
75	0.7875614895
76	0.7851816403
77	0.7824311772
78	0.7802991624
79	0.777971543
80	0.7751887438
81	0.772754277
82	0.7699178447
83	0.7673969846
84	0.7651334846
85	0.7609917615
86	0.7571736234
87	0.7533748434
88	0.7523781106
89	0.7505851955
90	0.7488733054
91	0.7468479958
92	0.7445932115
93	0.7431080539
94	0.7397074378
95	0.7373224072
96	0.7359160181
97	0.7335918387
98	0.7305595967
99	0.7282640733
100	0.7259338959
101	0.722872948
102	0.7205239289
103	0.7172067231
104	0.7138049181
105	0.7120781812
106	0.7105699277
107	0.7088822265
108	0.7059543437
109	0.7046821437
110	0.7017713812
111	0.6993661716
112	0.6975689706
113	0.6940266689
114	0.6918574565
115	0.6884130849
116	0.6868255926
117	0.6840825406
118	0.6821963992
119	0.6797165753
120	0.6776139256
121	0.6753151853
122	0.6726425671
123	0.6700105893
124	0.6680982728
125	0.664928991
126	0.6628295331
127	0.6612231356
128	0.6582496396
129	0.6572549182
130	0.6539752089
131	0.6526382533
132	0.6509314763
133	0.6480821561
134	0.6460728357
135	0.6437649255
136	0.6412321577
137	0.639576446
138	0.6376432061
139	0.6356007692
140	0.6344354105
141	0.6330709931
142	0.6311950614
143	0.6295859749
144	0.6277674299
145	0.6251622726
146	0.6242346122
147	0.6230339229
148	0.6213169922
149	0.6192933519
150	0.6173036973
151	0.6157407812
152	0.6143975563
153	0.6133449026
154	0.6116150495
155	0.6091086612
156	0.6078329875
157	0.6061609181
158	0.6049751073
159	0.603491141
160	0.6019358803
161	0.599525272
162	0.597891971
163	0.5951446896
164	0.5934363901
165	0.5912444844
166	0.5894974469
167	0.5883174534
168	0.5862261774
169	0.5851057211
170	0.5838348542
171	0.5805052105
172	0.5799942036
173	0.5783051169
174	0.5768773116
175	0.574971203
176	0.5734738565
177	0.5721433217
178	0.5705508272
179	0.5683135142
180	0.5670560681
181	0.5658051476
182	0.5638395067
183	0.5623250793
184	0.561517265
185	0.5604430143
186	0.5589962178
187	0.5568983517
188	0.5543948045
189	0.5533662092
190	0.5527344346
191	0.5510190711
192	0.5491172615
193	0.5474259158
194	0.545778734
195	0.5441322334
196	0.5429331014
197	0.5422734871
198	0.5409386643
199	0.5390208519
200	0.537591958
201	0.5362059738
202	0.535276484
203	0.5343352266
204	0.5332545403
205	0.5326485659
206	0.5313583586
207	0.5298406929
208	0.5287292823
