id,sepal width (cm),petal width (cm)
0,0.21874745911987148,0.21874745911987148
1,0.10749225861940814,0.10749225861940814
2,0.16688570507875766,0.16688570507875766
3,0.33000265962033487,0.33000265962033487
4,1.8785543618120997,1.8785543618120997
5,2.008316258525701,2.008316258525701
6,0.15203734346392028,0.15203734346392028
7,0.17807573209529415,0.17807573209529415
8,0.22627915153810718,0.22627915153810718
9,1.407452426756731,1.407452426756731
10,0.19292409371013153,0.19292409371013153
11,0.2077724553249689,0.2077724553249689
12,1.9340744504515144,1.9340744504515144
13,2.1301164163778,2.1301164163778
14,1.3667806997321537,1.3667806997321537
15,1.9007193926235388,1.9007193926235388
16,0.23746917855464367,0.23746917855464367
17,1.84498428076249,1.84498428076249
18,1.4259591229698692,1.4259591229698692
19,2.1305464628210675,2.1305464628210675
20,2.0860013779765554,2.0860013779765554
21,0.374547744464847,0.374547744464847
22,1.3185772802893405,1.3185772802893405
23,0.22993748613640808,0.22993748613640808
24,1.2148537722071129,1.2148537722071129
25,0.2744825709809202,0.2744825709809202
26,0.2632925439643836,0.2632925439643836
27,0.1483790088656194,0.1483790088656194
28,0.08532722780796909,0.08532722780796909
29,1.9450494542464172,1.9450494542464172
30,1.2370188030185518,1.2370188030185518
31,0.18173406669359504,0.18173406669359504
32,0.23381084395634288,0.23381084395634288
33,2.1266731050011325,2.1266731050011325
34,1.9377327850498154,1.9377327850498154
35,0.19658242830843242,0.19658242830843242
36,0.2189624823415055,0.2189624823415055
37,1.3519323381173163,1.3519323381173163
38,0.24478584775124546,0.24478584775124546
39,1.3702240111088204,1.3702240111088204
40,0.19658242830843242,0.19658242830843242
41,0.1447206742673186,0.1447206742673186
42,2.1042930509680593,2.1042930509680593
43,0.24478584775124546,0.24478584775124546
44,2.059747966123547,2.059747966123547
45,0.10404894724274127,0.10404894724274127
46,2.048987985550279,2.048987985550279
47,1.1556753489693972,1.1556753489693972
48,0.17420237427535934,0.17420237427535934
49,1.311045587871105,1.311045587871105
50,0.24478584775124546,0.24478584775124546
51,1.4483391770029423,1.4483391770029423
52,1.2482088300350884,1.2482088300350884
53,1.4965425964457553,1.4965425964457553
54,0.0704788661931317,0.0704788661931317
55,1.6075827737245847,1.6075827737245847
56,0.10383392402110725,0.10383392402110725
57,1.333425641904178,1.333425641904178
58,0.11136561643934295,0.11136561643934295
59,1.3295522840842433,1.3295522840842433
60,2.074811350960019,2.074811350960019
61,1.3149189456910397,1.3149189456910397
62,2.0414562931320432,2.0414562931320432
63,2.05264632014858,2.05264632014858
64,0.2893309325957576,0.2893309325957576
65,0.19658242830843242,0.19658242830843242
66,1.9080360618201406,1.9080360618201406
67,0.16322737048045677,0.16322737048045677
68,0.18173406669359504,0.18173406669359504
69,1.3519323381173163,1.3519323381173163
70,1.2703738608465276,1.2703738608465276
71,0.23381084395634288,0.23381084395634288
72,2.1008497395913928,2.1008497395913928
73,1.040761813870633,1.040761813870633
74,1.993467896910864,1.993467896910864
