id,Body Mass (g)
0,4379.24046796507
1,5617.975502510749
2,3527.54504751922
3,3435.8137143264375
4,3496.8527648366216
5,4264.876828757979
6,4608.536189010283
7,5305.0767771622295
8,4782.987291195478
9,4066.170198657335
10,4159.596391991397
11,4565.257440625732
12,4716.240924103724
13,4677.5007832707515
14,5085.592845524174
15,5218.131256503733
16,4259.889395213529
17,3925.8670344133707
18,3553.232247165314
19,3597.0206367405135
20,4386.404375517355
21,5506.13852150769
22,5437.456799621707
23,4139.3207257823115
24,3539.6775232078708
25,4604.733366671515
26,3604.7306899335763
27,4045.2659325020395
28,4350.888569119214
29,4810.780532452002
30,3667.862905244556
31,4725.241195911847
32,3542.384012591555
33,4955.9888037604505
34,4069.2133270620916
35,3314.508724062418
36,4589.857541223792
37,3925.0691678374783
38,4225.471245602211
39,4617.566754412265
40,4195.295762646929
41,3812.552708091904
42,4047.3609194412925
43,5348.185771233866
44,3827.6706114274148
45,4708.884075236374
46,3810.698797016641
47,4436.76907974636
48,4717.997134349489
49,5464.696772431868
50,3658.0906361608527
51,4276.152267955906
52,3249.020104683094
53,4348.70984987859
54,4254.827127845959
55,3958.3266062101316
56,4721.485893544756
57,4289.146651676793
58,4725.210102183835
59,3740.344043772623
60,4240.819161560897
61,3719.142910221199
62,4111.407433182935
63,5448.828324910165
64,3274.790839968838
65,4235.766355910493
66,4139.080464502641
67,4587.198012063366
68,3842.749988457362
69,4032.015918331257
70,4718.393678495306
71,3434.4869139840225
72,3549.019072808188
73,3577.866839052793
74,5398.461511568332
75,4470.936052336989
76,3319.798453168856
77,4028.4805612900236
78,5288.1761123653105
79,4789.67147384057
80,4180.322122074274
81,3465.9469186769575
82,4356.229579697328
83,4808.315822102853
84,5224.569376750924
85,4183.851975113795
86,5276.4433937167605
87,4276.301207256885
88,3450.432490672801
89,5083.876856627702
90,4478.343836381428
91,3607.891342915359
92,3764.1573190137174
93,3842.0989109529623
94,3434.4947805032302
95,3478.1213879133006
96,3775.7370243577
97,3085.958437277998
98,5031.024593210079
99,4064.5880494656753
100,3634.2342456900146
101,3343.968865531789
102,3539.7648645835357
103,5333.649204807879
104,5859.693718999237
105,3346.3614389260315
106,5243.618000891152
107,5338.70207538772
108,4331.090001148769
109,3605.20725506123
110,4485.185482073564
111,3482.8841179646165
112,4084.7660031923015
113,4140.11913324556
114,5320.399629498524
115,4011.9861641212246
116,3561.502366305067
117,3586.3997055567456
118,4211.202069768567
119,4002.095663811836
120,3978.3162521774366
121,5203.526671632694
122,3728.9458771184186
123,4510.2452654875
124,4164.6831898671535
125,4073.912476483341
126,5240.13809310984
127,4415.00725982085
128,3423.097201328597
129,3818.3448451416366
130,4001.501906293225
131,3913.7899994150475
132,5315.828723297293
133,5270.247530361088
134,5169.235138740751
135,4067.3628385762786
136,3807.897724481821
137,3574.137039878331
138,4670.780755077144
139,3550.9158036167337
140,3813.1449642306097
141,4527.960426477436
142,3292.4222041249222
143,3168.189656847614
144,4255.204031006145
145,3524.952179834078
146,4629.6644187654965
147,3825.518865657801
148,5342.12028112076
149,4374.990287281744
150,5431.948103656401
151,3511.8230841207514
152,4985.71416918452
153,5349.192080495747
154,4109.176545750222
155,5555.248702781786
156,3414.3633074381855
157,4224.688422632483
158,3530.2643339377278
159,3547.3499898318846
160,3812.6911912402106
161,3512.6668072237558
162,3348.651269182724
163,3108.893260574737
164,5248.189365394828
165,3670.1476401368604
166,5356.1337868438295
167,4728.606730259698
168,3856.6086950036683
169,3928.2467608143293
170,5469.085897906025
171,3495.0095961020506
172,5366.779913964767
173,3362.338238649671
174,3545.295791660717
175,4070.4326039909797
176,4271.595995214626
177,4597.370241269615
178,5329.3599502848765
179,3451.3034517466917
180,3988.201512750281
181,4385.440910115213
182,4011.0361038220926
183,4339.280324955874
184,4512.223609155274
185,4549.807580831603
186,4845.5898180427
187,5297.899089558957
188,3307.309628005806
189,3081.1670143561932
190,4054.9839011190384
191,3689.438266286025
192,4010.46903485508
193,4284.1927696934545
194,4945.0611956554185
195,5300.663984658793
196,4430.11873879789
197,5404.895535529402
198,3695.7630779555143
199,3409.265802057942
200,3740.7484081732255
201,4633.704423734411
202,3924.930435051605
203,4743.3315503830845
204,4358.958405362799
205,3676.322138395409
206,3715.6817365402044
207,4288.6776976199035
208,4725.793924212125
209,5011.632954095344
210,3362.9165965234156
211,3513.714717124829
212,3361.2828239393502
213,3769.739156228513
214,3694.110158568683
215,3833.2326287284186
216,5437.03524293581
217,3716.438299466011
218,4306.071118414513
219,4143.467420726197
220,3596.1889465844265
221,3432.2272618912866
222,4684.043058989869
223,4109.723237602738
224,4699.916503454184
225,4722.767430695952
226,4125.388805197014
227,4215.730842361158
